SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Samin Textiles Ltd. ,6.20,6.20,6.25,6.20,6.20,  0.00,"9,000"
Shahtaj Textile Ltd. ,113.68,118.99,118.99,118.99,118.99,  5.31,500
Yousuf Weaving Mills Limited. [ DEFAULTER SEGMENT ],2.81,2.90,2.90,2.78,2.79,  -0.02,"25,500"
Zephyr Textile Limited.(XD) ,7.41,7.55,7.55,7.55,7.55,  0.14,"1,000"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Khyber Tobacco Co. Ltd. ,294.11,300.00,304.00,300.00,304.00,  9.89,600
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Pak International Airline Corp Ltd [ DEFAULTER SEGMENT ],6.57,6.73,6.77,6.60,6.60,  0.03,"658,000"
Pakistan Int.Container Terminal.(XD) ,171.50,173.00,175.00,173.00,175.00,  3.50,"1,100"
Pakistan Intl. Bulk Terminal Ltd. ,10.41,10.42,10.85,10.30,10.69,  0.28,"1,899,000"
Pakistan National Shipping Co. ,86.76,87.50,87.50,87.50,87.50,  0.74,500
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
S .S . Oil Mills Ltd. ,24.10,23.00,23.01,23.00,23.01,  -1.09,"6,000"
Unity Foods Limited. ,11.09,11.20,11.62,11.10,11.49,  0.40,"8,347,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
Dolmen City REIT.(XD) ,11.33,11.50,11.50,11.20,11.45,  0.12,"31,500"
SCRIP,LDCP,OPEN,HIGH,LOW,CURRENT,CHANGE,VOLUME
ASTL-DEC,39.18,39.97,41.00,38.65,38.88,  -0.30,"611,000"
ASTL-NOV,39.18,39.40,39.50,38.40,38.80,  -0.38,"1,052,000"
ATRL-DEC,104.80,105.50,107.75,104.40,107.00,  2.20,"1,350,000"
ATRL-NOV,104.80,105.00,107.10,103.27,106.45,  1.65,"1,749,500"
BAFL-NOV,44.37,44.38,44.56,44.38,44.56,  0.19,"1,500"
BOP-DEC,11.14,11.35,11.50,11.23,11.27,  0.13,"1,362,500"
BOP-NOV,11.14,11.20,11.40,11.11,11.19,  0.05,"1,644,500"
CHCC-DEC,48.04,48.50,50.44,48.50,50.14,  2.10,"331,500"
CHCC-NOV,48.04,48.00,50.30,47.70,50.10,  2.06,"554,000"
DGKC-NOV,70.67,71.00,71.86,69.45,71.10,  0.43,"3,264,500"
DGKC-DEC,70.67,70.70,72.21,69.75,71.30,  0.63,"1,988,000"
DOL-NOV,18.44,18.37,18.74,18.37,18.45,  0.01,"357,000"
DOL-DEC,18.44,18.75,18.80,18.60,18.65,  0.21,"61,500"
ENGRO-DEC,323.73,326.00,330.00,326.00,328.00,  4.27,"25,000"
ENGRO-NOV,331.73,331.88,334.80,330.38,333.88,  2.15,"42,500"
EFERT-DEC,70.60,71.40,71.82,71.00,72.20,  1.22,"69,000"
EFERT-NOV,70.60,70.95,71.50,70.95,71.28,  0.71,"20,500"
EPCL-NOV,30.55,30.56,31.30,30.00,31.15,  0.60,"477,500"
EPCL-DEC,30.55,31.00,31.60,30.80,31.29,  0.74,"235,000"
FCCL-DEC,15.93,16.01,16.10,15.67,16.05,  0.12,"493,000"
FCCL-NOV,15.93,15.78,16.09,15.60,15.98,  0.05,"930,000"
FFBL-DEC,19.72,20.17,20.28,20.00,20.26,  0.53,"159,500"
FFBL-NOV,19.72,19.76,20.09,19.76,20.05,  0.29,"107,500"
FFC-DEC,99.80,101.00,102.00,101.00,101.55,  1.75,"34,500"
FFC-NOV,102.00,102.00,102.90,102.00,102.75,  0.75,"88,000"
FFL-NOV,11.68,11.50,12.48,11.50,12.25,  0.57,"2,877,000"
FFL-DEC,11.68,11.90,12.54,11.90,12.35,  0.67,"2,373,500"
FCEPL-DEC,69.59,69.75,69.75,69.70,69.70,  0.11,"1,000"
FCEPL-NOV,69.59,69.00,69.00,69.00,69.00,  -0.59,500
GTYR-DEC,58.51,59.50,60.85,59.35,60.35,  1.84,"493,000"
GTYR-NOV,59.01,58.80,61.00,58.31,60.26,  1.25,"531,500"
GHNI-NOV,95.87,96.50,100.66,96.10,100.00,  4.13,"296,500"
GATM-DEC,42.42,42.75,43.49,42.75,43.49,  1.07,"33,500"
GATM-NOV,42.42,42.25,43.00,42.25,42.75,  0.33,"41,000"
HMB-NOV,33.86,0.0,0,0,33.80,  0.0,"10,000"
HASCOL-DEC,24.84,25.91,26.08,24.21,26.08,  1.24,"6,670,000"
HASCOL-NOVB,24.84,25.68,26.08,25.25,26.08,  1.24,"4,192,500"
HUBC-DEC,88.83,90.00,90.00,90.00,90.00,  1.17,"1,500"
HUBC-NOV,88.83,87.80,89.90,87.70,89.90,  1.07,"34,500"
INIL-NOV,94.24,94.50,96.99,94.00,96.00,  1.76,"250,000"
INIL-DEC,94.24,94.00,96.98,94.00,96.00,  1.76,"180,500"
ISL-DEC,53.18,52.51,53.29,52.00,52.75,  -0.43,"726,000"
ISL-NOV,53.18,52.61,52.90,51.60,52.35,  -0.83,"2,511,000"
KEL-NOV,4.13,4.12,4.18,4.10,4.10,  -0.03,"1,022,000"
KEL-DEC,4.13,4.14,4.19,4.13,4.14,  0.01,"872,500"
KOHC-DEC,81.02,80.00,80.00,80.00,80.00,  -1.02,"3,000"
KOHC-NOV,81.02,79.55,81.99,79.50,81.99,  0.97,"12,500"
KAPCO-DEC,34.97,35.49,35.50,35.01,35.49,  0.52,"8,500"
KAPCO-NOV,34.97,34.85,35.00,34.85,35.00,  0.03,"54,500"
LOTCHEM-DEC,14.78,14.65,15.00,14.65,14.85,  0.07,"119,000"
LOTCHEM-NOV,14.78,14.41,14.84,14.41,14.78,  0.02,"150,500"
LUCK-NOV,400.01,398.00,415.00,395.00,410.00,  9.99,"650,500"
LUCK-DEC,400.01,399.00,417.90,398.00,411.50,  11.49,"142,500"
MLCF-NOV,19.36,19.34,19.67,19.09,19.40,  0.04,"1,773,000"
MLCF-DEC,19.36,19.30,19.70,19.10,19.45,  0.09,"1,932,500"
MCB-NOV,191.40,190.00,190.00,190.00,190.00,  -1.40,500
MCB-DEC,191.40,0.0,0,0,192.50,  0.0,"30,000"
MEBL-NOV,83.00,84.10,84.10,84.00,84.00,  1.00,"5,000"
MUGHAL-DEC,42.61,42.97,42.98,42.61,42.61,  0.00,"6,000"
MUGHAL-NOV,42.61,42.77,42.77,41.80,42.50,  -0.11,"193,000"
NBP-NOV,40.57,41.60,41.60,40.00,41.20,  0.63,"355,000"
NBP-DEC,40.57,41.00,42.59,40.90,41.50,  0.93,"486,000"
NRL-DEC,123.22,123.50,129.35,120.50,124.00,  0.78,"150,500"
NRL-NOV,123.22,123.80,125.09,121.25,124.00,  0.78,"184,500"
NETSOL-NOV,66.96,66.50,67.99,66.50,67.60,  0.64,"25,000"
NETSOL-DEC,66.96,67.50,67.50,66.80,66.80,  -0.16,"5,000"
NCL-NOV,37.78,37.90,38.00,37.66,38.00,  0.22,"18,500"
NML-DEC,101.78,102.50,103.99,102.50,103.00,  1.22,"75,000"
NML-NOV,101.78,102.50,102.75,100.50,102.60,  0.82,"120,500"
OGDC-DEC,130.71,136.00,136.15,133.00,133.00,  2.29,"402,000"
OGDC-NOV,133.21,137.99,137.99,133.93,134.00,  0.79,"950,500"
PAEL-NOV,23.62,23.70,24.55,23.50,24.41,  0.79,"9,613,500"
PAEL-DEC,23.62,23.90,24.80,23.70,24.59,  0.97,"7,498,500"
PSMC-DEC,185.10,189.00,194.35,189.00,194.35,  9.25,"13,000"
PSMC-NOV,185.10,186.00,194.35,186.00,194.35,  9.25,"58,000"
PIBTL-NOV,10.45,10.47,10.88,10.38,10.70,  0.25,"737,500"
PIBTL-DEC,10.45,10.46,11.10,10.46,10.80,  0.35,"868,500"
POL-NOV,410.00,411.00,413.50,411.00,413.50,  3.50,"4,000"
POL-DEC,410.00,415.00,415.00,415.00,415.00,  5.00,"1,000"
PPL-DEC,122.52,125.50,125.50,124.00,124.00,  1.48,"168,500"
PPL-NOV,122.52,124.15,124.25,123.10,123.22,  0.70,"227,000"
PSO-DEC,183.56,184.45,187.00,182.88,184.90,  1.34,"304,000"
PSO-NOV,183.56,184.00,184.98,181.00,183.00,  -0.56,"649,500"
PIOC-DEC,31.99,32.40,33.45,31.30,32.75,  0.76,"1,909,000"
PIOC-NOV,31.99,32.00,33.35,31.49,32.75,  0.76,"2,568,000"
SSGC-NOV,19.66,19.50,20.10,19.50,19.97,  0.31,"553,500"
SSGC-DEC,19.66,19.93,20.25,19.93,20.15,  0.49,"971,000"
SEARL-DEC,183.46,183.50,187.44,182.61,185.51,  2.05,"121,000"
SEARL-NOV,183.46,183.00,186.30,181.00,184.00,  0.54,"424,000"
TRG-DEC,22.04,22.23,22.79,21.91,22.51,  0.47,"5,467,000"
TRG-NOV,22.04,22.04,22.60,21.75,22.33,  0.29,"9,415,000"
UBL-NOV,151.20,151.21,151.21,151.21,151.21,  0.01,500
UBL-DEC,151.20,151.50,151.50,151.50,151.50,  0.30,"10,000"
UNITY-NOV,11.16,11.27,11.63,11.19,11.50,  0.34,"2,932,000"
UNITY-DEC,11.16,11.35,11.75,11.35,11.61,  0.45,"1,345,000"




























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































































